sequence,video_group,frame_index,image_path,visibility
Basketball,Basketball,0,Basketball/img/0001.jpg,1
Basketball,Basketball,1,Basketball/img/0002.jpg,1
Basketball,Basketball,2,Basketball/img/0003.jpg,1
Basketball,Basketball,3,Basketball/img/0004.jpg,1
Basketball,Basketball,4,Basketball/img/0005.jpg,1
Basketball,Basketball,5,Basketball/img/0006.jpg,1
Basketball,Basketball,6,Basketball/img/0007.jpg,1
Basketball,Basketball,7,Basketball/img/0008.jpg,1
Basketball,Basketball,8,Basketball/img/0009.jpg,1
Basketball,Basketball,9,Basketball/img/0010.jpg,1
Basketball,Basketball,10,Basketball/img/0011.jpg,1
Basketball,Basketball,11,Basketball/img/0012.jpg,1
Basketball,Basketball,12,Basketball/img/0013.jpg,1
Basketball,Basketball,13,Basketball/img/0014.jpg,1
Basketball,Basketball,14,Basketball/img/0015.jpg,1
Basketball,Basketball,15,Basketball/img/0016.jpg,1
Basketball,Basketball,16,Basketball/img/0017.jpg,1
Basketball,Basketball,17,Basketball/img/0018.jpg,1
Basketball,Basketball,18,Basketball/img/0019.jpg,1
Basketball,Basketball,19,Basketball/img/0020.jpg,1
Basketball,Basketball,20,Basketball/img/0021.jpg,1
Basketball,Basketball,21,Basketball/img/0022.jpg,1
Basketball,Basketball,22,Basketball/img/0023.jpg,1
Basketball,Basketball,23,Basketball/img/0024.jpg,1
Basketball,Basketball,24,Basketball/img/0025.jpg,1
Basketball,Basketball,25,Basketball/img/0026.jpg,1
Basketball,Basketball,26,Basketball/img/0027.jpg,1
Basketball,Basketball,27,Basketball/img/0028.jpg,1
Basketball,Basketball,28,Basketball/img/0029.jpg,1
Basketball,Basketball,29,Basketball/img/0030.jpg,1
Basketball,Basketball,30,Basketball/img/0031.jpg,1
Basketball,Basketball,31,Basketball/img/0032.jpg,1
Basketball,Basketball,32,Basketball/img/0033.jpg,1
Basketball,Basketball,33,Basketball/img/0034.jpg,1
Basketball,Basketball,34,Basketball/img/0035.jpg,1
Basketball,Basketball,35,Basketball/img/0036.jpg,1
Basketball,Basketball,36,Basketball/img/0037.jpg,1
Basketball,Basketball,37,Basketball/img/0038.jpg,1
Basketball,Basketball,38,Basketball/img/0039.jpg,1
